;Design 1;Design 2;Design 3;Design 4;Design 5;Design 6;Design 7;Design 8;Design 9;Design 10;Design 11;Design 12;Design 13;Design 14;Design 15;Design 16;Design 17;Design 18;Design 19;Design 20;Design 21;Design 22;Design 23;Design 24;Design 25;Design 26;Design 27
Take off weight [N];1752438.8276496679;1818266.1295609886;1871456.8063418993;1848867.2440025052;1912393.4884262965;1976959.4676692197;1971423.7453220813;2053697.9938644038;2137666.5723930486;1751414.5703415056;1797797.263658235;1845874.8289919277;1832708.8624111887;1893926.1779181212;1955987.7537543694;1953821.4655786373;2033247.304066607;2114115.1134700794;1741621.9196561123;1787580.4334459575;1831442.607563132;1824598.530853238;1885530.790812827;1947311.7640105279;1933726.4076913162;2012229.2448478274;2091927.953078378
Payload weight [N];472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004
Fuel weight [N];157291.61770060848;162918.59695186818;167343.38004467895;165831.5329548606;171137.10606966456;176438.78910159323;176435.76646693188;183158.9780184615;189876.58412385004;157184.30284470267;161112.77487526293;165156.48377078256;164403.44427531285;169523.9046267933;174634.1538467878;174886.0915215209;181387.7045956434;187869.5155159048;156305.5465257055;160194.27017368152;163850.93969671422;163655.22503542664;168750.15909378533;173828.79009164387;173127.73221684573;179567.4647231151;185970.1757960134
Empty weight [N];1122661.9646990593;1182862.2873591203;1231628.1810472205;1210550.4657976448;1268771.1371066319;1328035.4333176264;1322502.7336051494;1398053.7705959422;1475304.7430191988;1121745.0222468027;1164199.243532972;1208233.0999711452;1195820.1728858757;1251917.0280413278;1308868.3546575815;1306450.1288071163;1379374.3542209635;1453760.3527041744;1112831.1278804066;1154900.9180222761;1195106.4226164175;1188458.0605678111;1244295.3864690415;1300997.7286688841;1288113.4302244703;1360176.5348747121;1433472.5320323645
Wing weight [N];185848.59137601883;228613.84457272053;269913.52266893734;216210.91941990296;266047.19997080456;316647.8305011639;277912.4334541188;343142.2239990536;409655.32015163073;183766.7407191079;218683.23385246343;255961.27852694935;210189.53448862926;258201.06968662914;306782.12231551635;271239.3755392559;334171.72047125193;398173.54114606755;182398.40471130252;217020.17161474118;251096.9087793856;210706.62670454162;258493.89529259756;306872.42459905636;262919.23771981406;325023.4115300861;388043.541460989
Empennage weight [N];15225.712616129837;14043.416812042347;13908.104299709736;16969.37307589492;16522.362233322958;16377.18877037224;20132.144796307563;19553.443517604774;19331.88924076452;14121.577162873285;13638.504994036353;13516.123971867994;16492.914077969654;16060.523665095854;15919.463897072663;19571.41727377944;19009.380453723785;18793.971998350487;13700.646939950124;13233.90988796242;13115.40547265971;16006.62372609397;15587.86202022065;15451.179675873587;18999.25010375727;18450.091712145975;18241.37140129464
Fuselage weight [N];400108.08087578346;409459.1511723186;409816.68275773333;441852.6375853026;442036.5426158266;442262.9341188021;471733.6982015979;471829.3121066168;472075.76033754274;402662.9954553122;404195.56879179116;404435.16917590005;436068.84538802574;436225.81181087747;436448.6840963039;465544.09956099885;465631.8247322201;465875.17947900586;397081.165424832;398566.5570099662;398799.76299294346;430003.6311575177;430147.1913398169;430364.39967258036;459052.1283042117;459174.6594496871;459410.86985757685
Nacelle weight [N];28590.503219835784;29613.305138672345;30417.586874161112;30142.782216918506;31107.162947687037;32070.8365878388;32070.2871711103;33292.34848830979;34513.39091760993;28570.996867379345;29285.06538470208;30020.080218216535;29883.20211603521;30813.935363656175;31742.812559493246;31788.606639342837;32970.38855656897;34148.57108590654;28411.267533197268;29118.1110866162;29782.774743208105;29747.200179633055;30673.293576915166;31596.42360774116;31468.99407449763;32639.528115960817;33803.33286424569
Propulsion system weight [N];126375.06538605558;126442.59289032375;126500.60518348566;126414.73363606884;126480.86398294273;126543.05863903077;126462.20730093942;126534.78108481718;126603.29032038343;126374.55821711454;126434.01888502832;126490.17863516542;126408.19288232554;126473.44617710052;126534.74870099897;126455.38600153175;126526.98244992316;126594.47133833451;126370.39684386582;126429.63421663763;126483.91198619932;126404.75142390213;126469.87229898306;126531.02244725601;126447.59899208619;126518.91722228004;126586.07000508724
Fixed equipment weight [N];324473.07039538084;331389.25898968655;336785.22495060775;335009.894618708;341448.7177545268;347833.8227955477;347892.86704615835;355925.0396510493;363880.8196921707;324231.3081482671;329065.65403334395;334010.47547107487;333145.50548996765;339371.5567249905;345538.8775576083;345893.97949225863;353675.84477322095;361367.96253947925;323049.805062395;327840.85850197246;332318.88455405354;332124.11211625737;338324.2986995649;344458.5146925417;343657.4078279092;351381.49332804396;358995.5089096722
